run_id,task_category,model_slug,is_done,done_reason,total_duration_s,load_duration_s,input_token_count,input_token_duration_s,output_token_count,output_token_duration_s,is_thinking,output_char_count,thinking_char_count,generation_limit_reached,final_content_empty,generation_failure,reasoning_limit_failure,truncated_response,latency_s,cc_duration_s,carbon_emissions_grams,emissions_rate_grams_per_s,mean_cpu_power_w,mean_gpu_power_w,mean_ram_power_w,cpu_energy_kwh,gpu_energy_kwh,ram_energy_kwh,total_energy_consumed_kwh,cpu_util_percent,gpu_util_percent,ram_util_percent,avg_ram_used_gb
M1G__UP016,summarization,granite4.1:8b,True,stop,1.657739428,0.293836004,3192,0.044345,163,1.27795,False,757,0,False,False,False,False,False,1.6609163359971717,3.1715322450036183,0.06283009316239901,0.01981064302952636,12.501843256250002,160.0044465998712,20.0,9.265958657883993e-06,0.00014084150156179476,1.4822565144277179e-05,0.00016493002536395593,0.0,94.0,58.0,35.542423248291016
M1G__UP017,summarization,granite4.1:8b,True,stop,2.186189294,0.284741664,3503,0.079424,226,1.774485,False,988,0,False,False,False,False,False,2.1899945809855126,3.70411528396653,0.08437524711526749,0.02277878539053319,12.5014300625,187.4900106178169,20.0,1.110310445260858e-05,0.00019262293187605195,1.7760371638966413e-05,0.00022148640796762695,0.0,94.0,58.1,35.54941749572754
M1S__UP017,summarization,granite4.1:8b,True,stop,1.156126705,0.288803137,3564,0.088029,93,0.7308,False,399,0,False,False,False,False,False,1.1600197619991377,2.671693538024556,0.04373192507789634,0.01636861580697299,12.500074925000002,128.4701263478295,20.0,7.525932030286884e-06,9.523340951922421e-05,1.2037679261346865e-05,0.00011479702081085795,0.0,39.0,58.1,35.54978561401367
M1S__UP018,summarization,granite4.1:8b,True,stop,1.310990635,0.284721159,3177,0.033881,121,0.949942,False,482,0,False,False,False,False,False,1.3148011360317469,2.8265836689970456,0.04903193059423007,0.01734671120194649,12.50052138125,137.37647388263542,20.0,8.06416314132155e-06,0.00010774675286473467,1.2898706238936738e-05,0.00012870962224499296,0.0,46.0,58.1,35.551849365234375
M1G__UP018,summarization,granite4.1:8b,True,stop,1.190533031,0.288004487,3116,0.035012,105,0.821099,False,407,0,False,False,False,False,False,1.194397097977344,2.706440894980915,0.04423101270442764,0.016342870367667697,12.500123637500003,128.14853087630863,20.0,7.646143672441333e-06,9.623174365192e-05,1.2229246694348856e-05,0.00011610713401871018,0.0,0.0,58.0,35.54159927368164
M1G__UP019,summarization,granite4.1:8b,True,stop,3.808400071,0.290414471,3303,0.053429,435,3.416953,False,2308,0,False,False,False,False,False,3.8123436819878407,5.32892871403601,0.1485694088238877,0.027879789127703412,12.50285395625,234.4135299975462,20.0,1.6739710697792534e-05,0.00034648305496354226,2.6774369983468208e-05,0.000389997135644803,0.0,94.33333333333333,58.0,35.54307174682617
M1S__UP019,summarization,granite4.1:8b,True,stop,3.277497837,0.302897656,3364,0.060087,365,2.865169,False,1904,0,False,False,False,False,False,3.28146776399808,4.792854250001255,0.12729382337526907,0.026559084991002117,12.50209638125,222.048580576491,20.0,1.4892594673774603e-05,0.0002954335696800925,2.3822210433556597e-05,0.0003341483747874237,0.0,94.0,58.0,35.53556442260742
M1S__UP020,summarization,granite4.1:8b,True,stop,0.951917974,0.306707215,3208,0.037022,72,0.567506,False,369,0,False,False,False,False,False,0.9556916650035419,2.467350407037884,0.03465441578121041,0.014045194262785683,12.500000112500002,107.0100769711596,20.0,6.816446755801307e-06,7.324978082223765e-05,1.0902182400200724e-05,9.096840997823968e-05,0,0,0,0
M1G__UP020,summarization,granite4.1:8b,True,stop,1.714488479,0.286510609,3147,0.039202,172,1.344822,False,852,0,False,False,False,False,False,1.7176478959736414,3.2289137360057794,0.06503815217649639,0.02014242481960812,12.5018432,163.08044359925753,20.0,9.46202398828788e-06,0.00014612789468060328,1.5136297833265012e-05,0.00017072621650215616,0.0,95.0,58.0,35.53425979614258
M1G__UP021,open_qa,granite4.1:8b,True,stop,2.505457818,0.295433786,2942,0.017388,276,2.151208,False,1361,0,False,False,False,False,False,2.5086394930258393,4.0241125879692845,0.09598758507008395,0.02385310623690149,12.502576437500004,197.382427709954,20.0,1.2209462621550823e-05,0.00022022906507146445,1.95304579221152e-05,0.00025196898561513046,0.0,94.0,58.0,35.53816223144531
M1S__UP021,open_qa,granite4.1:8b,True,stop,0.914578435,0.290971466,3003,0.023845,71,0.556016,False,343,0,False,False,False,False,False,0.9181285789818503,2.434583228023257,0.03294568876463271,0.013532373173942687,12.5,102.5105964085285,20.0,6.685983808994126e-06,6.910338861665366e-05,1.0693601100097619e-05,8.64829735257454e-05,0,0,0,0
M1S__UP022,open_qa,granite4.1:8b,True,stop,0.8991968,0.291359264,3003,0.01727,70,0.547806,False,247,0,False,False,False,False,False,0.9029750879853964,2.4143091659643687,0.03241830397246396,0.013427569438694829,12.5000009,101.29806936356711,20.0,6.633502394254102e-06,6.785394317176952e-05,1.0611134227817982e-05,8.50985797938416e-05,0,0,0,0
M1G__UP022,open_qa,granite4.1:8b,True,stop,1.688947355,0.302630477,2942,0.018711,170,1.32557,False,714,0,False,False,False,False,False,1.692720694001764,3.204496970982291,0.06330703407839851,0.01975568541698221,12.5018432,159.46155152193683,20.0,9.37696772576498e-06,0.00014180650233441838,1.4998533033132035e-05,0.0001661820030933154,0.0,95.0,58.1,35.54864501953125
M1G__UP023,open_qa,granite4.1:8b,True,stop,3.582634099,0.287208133,2946,0.017413,415,3.240416,False,2309,0,False,False,False,False,False,3.5865725119947456,5.101498314994387,0.13828127470480941,0.027106012031479332,12.502854153125,227.1621403885573,20.0,1.595522571231205e-05,0.0003215158127680695,2.551957631108558e-05,0.00036299061479146713,0.0,94.0,58.06666666666666,35.54623031616211
M1S__UP023,open_qa,granite4.1:8b,True,stop,1.555249622,0.262983321,3007,0.022886,157,1.226243,False,813,0,False,False,False,False,False,1.559843816969078,3.0716046119923703,0.05927820319349281,0.019298773990003387,12.50202190625,155.36762202258132,20.0,8.915632010686422e-06,0.00013243121705563965,1.4259406855692052e-05,0.00015560625592201812,50.0,94.0,58.0,35.53921890258789
M1S__UP024,open_qa,granite4.1:8b,True,stop,2.124971159,0.27161867,3007,0.017266,229,1.792316,False,1001,0,False,False,False,False,False,2.128405125986319,3.6397956540458836,0.08090967555100079,0.022229180767624715,12.501386150000002,182.22337539494947,20.0,1.0888998587863877e-05,0.00018408264726588186,1.7417579900292265e-05,0.000212389225754038,0.0,47.0,58.0,35.54210662841797
M1G__UP024,open_qa,granite4.1:8b,True,stop,0.993203639,0.298445808,2946,0.018168,81,0.634789,False,407,0,False,False,False,False,False,0.9969578650197946,2.508847857010551,0.03574866166364664,0.014249035294728237,12.500000112500002,108.81932746694469,20.0,6.961033347271417e-06,7.574700504164866e-05,1.113278498329843e-05,9.38408233722185e-05,0,0,0,0
M1G__UP025,open_qa,granite4.1:8b,True,stop,4.139731036,0.28677425,2945,0.015585,487,3.798947,False,2293,0,False,False,False,False,False,4.143596998997964,5.655672764987685,0.1620966814663114,0.028660901753332673,12.502370870000002,241.3872163429126,20.0,1.7889448322883504e-05,0.0003790028032026882,2.8614196738797343e-05,0.00042550644826436907,0.0,70.0,58.0,35.54334259033203
M1S__UP025,open_qa,granite4.1:8b,True,stop,3.488941786,0.287044718,3006,0.023987,401,3.135114,False,1963,0,False,False,False,False,False,3.4928795929881744,5.004648450005334,0.13644737807473933,0.02726412842736115,12.502948653125,228.5640585915603,20.0,1.5629694755926538e-05,0.0003175477540384719,2.4999157255580132e-05,0.0003581766060499786,0.0,94.33333333333333,58.0,35.54477183024088
M1S__UP026,open_qa,granite4.1:8b,True,stop,3.513027451,0.286026029,3005,0.017368,405,3.165201,False,1904,0,False,False,False,False,False,3.517053265008144,5.0288527070079,0.1367157501755688,0.027186270535434483,12.50303778125,227.84049556101647,20.0,1.5712210086742075e-05,0.0003180380322085341,2.5130844922387045e-05,0.00035888108721766324,0.0,94.66666666666667,58.0,35.54245376586914
M1G__UP026,open_qa,granite4.1:8b,True,stop,4.21677857,0.291355206,2944,0.017483,495,3.863836,False,2516,0,False,False,False,False,False,4.220636022044346,5.734229006979149,0.1658062561614045,0.028915178650800514,12.502344905000001,243.83043771264025,20.0,1.8156302706765456e-05,0.00038804725488184033,2.9040585110972944e-05,0.0004352441426995787,0.0,94.25,58.0,35.54408836364746
